id,growth
01269,-0.4
01271,1.2
01272,-0.6
01273,1.5
01274,-0.9
01275,1.8
01276,0.0
01277,-0.9
01279,0.9
01280,2.8
01281,5.3
01282,-1.6
01283,-0.9
01284,4.8
01285,1.7
01286,2.1
01288,4.1
01289,-0.2
01290,0.3
01291,-0.9
01292,-0.9
01293,0.9
01294,1.4
01295,10.3
01296,4.1
01297,0.5
01298,7.3
01299,0.3
01300,1.3
01301,0.3
01302,0.3
01303,1.4
01304,1.6
01305,1.2
01306,1.4
01307,-0.7
01308,1.7
01309,3.1
01310,-2.3
01311,4.3
01312,2.5
01313,8.4
01314,1.6
01316,5.8
01317,0.9
01318,0.8
01319,2.6
01320,2.8
01321,6.0
01322,1.5
01323,2.3
01325,0.5
01328,0.6
01329,-0.3
01330,3.2
01331,-1.7
01332,4.4
01333,-0.2
01334,1.1
01335,2.3
01336,2.1
01337,1.8
01338,2.3
01339,0.4
01340,2.3
01341,1.8
01342,0.1
01343,2.1
01344,1.5
01345,1.1
01346,2.3
01347,0.1
01348,1.2
01349,2.7
01350,0.8
01351,1.2
01352,1.5
01353,3.0
01354,3.0
01355,2.5
01356,1.6
01357,-1.9
01358,2.5
01359,-0.5
01360,1.1
01361,0.5
01362,5.7
01363,0.9
01364,1.0
01365,0.7
01366,2.6
01367,5.1
01368,2.7
01369,0.0
01370,0.5
01371,-0.1
01372,-1.2
01373,0.6
01374,2.1
01375,0.6
01376,-0.1
01378,1.0
01379,1.6
01380,-1.9
01381,1.1
01382,-0.5
01383,0.5
01384,0.4
01385,3.2
01386,0.1
01387,5.4
01388,2.2
01389,-0.5
01390,2.4
01391,0.5
01392,1.0
01393,-0.1
01396,-0.3
01397,-0.7
01398,1.1
01399,2.8
01400,-0.3
01401,5.3
01402,0.7
01403,3.8
01404,1.7
01405,0.5
01406,1.6
01407,0.7
01408,0.8
01409,2.0
01410,0.0
01411,0.6
01412,-0.5
01413,0.3
01414,0.8
01415,-1.5
01416,-0.3
01417,0.1
01418,-0.9
01419,3.4
01420,1.5
01421,1.0
01422,0.2
01423,1.6
01424,0.3
01425,-0.3
