insee,name,density,x,y
02022,Arcy-Sainte-Restitue,16,3.48,49.25
02023,Armentières-sur-Ourcq,15,3.39,49.17
02024,Arrancy,10,3.76,49.50
02025,Artemps,57,3.20,49.76
02026,Artonges,15,3.54,48.93
02027,Assis-sur-Serre,33,3.55,49.68
02028,Athies-sous-Laon,170,3.69,49.58
02029,Attilly,32,3.15,49.86
02030,Aubencheul-aux-Bois,141,3.26,50.02
02031,Aubenton,29,4.19,49.83
02032,Aubigny-aux-Kaisnes,64,3.12,49.77
02033,Aubigny-en-Laonnois,25,3.79,49.50
02034,Audignicourt,18,3.13,49.48
02035,Audigny,26,3.63,49.87
02036,Augy,35,3.51,49.34
02037,Aulnois-sous-Laon,137,3.61,49.62
02038,Les Autels,13,4.22,49.76
02039,Autremencourt,19,3.79,49.71
02040,Autreppes,27,3.86,49.90
02041,Autreville,233,3.24,49.59
02042,Azy-sur-Marne,144,3.36,49.00
02043,Bagneux,33,3.28,49.46
02044,Bancigny,9,4.04,49.80
02046,Barenton-Bugny,50,3.66,49.62
02047,Barenton-Cel,20,3.65,49.65
02048,Barenton-sur-Serre,15,3.69,49.67
02049,Barisis,49,3.33,49.58
02050,Barzy-en-Thiérache,41,3.75,50.04
02051,Barzy-sur-Marne,51,3.56,49.09
02052,Bassoles-Aulers,20,3.38,49.53
02053,Baulne-en-Brie,14,3.60,48.99
02054,Bazoches-sur-Vesles,50,3.62,49.31
02055,Beaumé,11,4.15,49.82
02056,Beaumont-en-Beine,31,3.13,49.69
02057,Beaurevoir,68,3.33,50.00
02058,Beaurieux,80,3.75,49.40
02059,Beautor,360,3.34,49.65
02060,Beauvois-en-Vermandois,38,3.10,49.83
02061,Becquigny,60,3.46,50.02
02062,Belleau,21,3.30,49.08
02063,Bellenglise,60,3.24,49.93
02064,Belleu,849,3.34,49.36
02065,Bellicourt,65,3.23,49.96
02066,Benay,31,3.31,49.76
02067,Bergues-sur-Sambre,50,3.71,50.03
02068,Berlancourt,20,3.76,49.78
02069,Berlise,19,4.11,49.66
02070,Bernot,27,3.49,49.88
02071,Berny-Rivière,80,3.15,49.41
02072,Berrieux,37,3.85,49.48
02073,Berry-au-Bac,73,3.90,49.41
02074,Bertaucourt-Epourdon,82,3.40,49.63
02075,Berthenicourt,67,3.37,49.78
02076,Bertricourt,38,4.01,49.40
02077,Berzy-le-Sec,35,3.30,49.32
02078,Besmé,59,3.16,49.53
02079,Besmont,10,4.12,49.82
02080,Besny-et-Loizy,38,3.58,49.59
02081,Béthancourt-en-Vaux,110,3.14,49.63
02082,Beugneux,15,3.42,49.23
02083,Beuvardes,46,3.49,49.13
02084,Bézu-le-Guéry,23,3.23,49.01
02085,Bézu-Saint-Germain,89,3.41,49.10
02086,Bichancourt,137,3.21,49.58
02087,Bieuxy,7,3.27,49.45
02088,Bièvres,26,3.71,49.49
